Column 1,PLEIADES_ID
abu-shaar-78-d3,766332
ain-el-hayz-73-inset,716510
alexandria-74-b2,727070
amathous-72-c3,707462
antinoopolis-77-d1,756518
apollo-72-c2,707480
ara-ubiorum-col-claudia-ara-agrippinensium-11-g2,108751
argos-58-d2,570106
arretium-42-b2,413032
athenae-59-b3,579885
atuatuca-11-f2,108765
bagawat-79-d3,776156
balat-79-inset,776157
beleida-79-c3,776161
belevi-61-e1,599555
beneventum-maleventum-44-g3,432721
chaeronea-55-d4,540701
clusium-42-b2,413096
corinthus-58-d2,570182
cosa-42-a4,413107
cumae-44-f4,432808
deir-el-adra-77-f3,756556
deir-mustafa-kashef-79-d3,776168
delphi-55-d4,540726
dionysias-75-c2,736904
diospolis-magna-thebai-80-b2,786017
dodona-54-c2,530843
el-deir-79-d2,776167
el-lahun-75-d2,736953
el-medina-75- d4,
el-nadura-79-d3,776206
ephesus-arsinoeia-61-e2,599612
ephyra-kichyros-54-c3,530870
epidauros-58-e2,570228
eryx-47-b2,462201
gebel-teir-79-d2,776176
gla-55-e3,540789
halicarnassus-61-e3,599636
hammamat-80-d2,786032
hermopolis-magna-schmun-77-d1,756574
hierapolis-62-d5,609403
iasos-61-f3,599664
idalion-72-c2,707519
ierusalem-hierosolyma-colaelia-capitolina-70-g2,
isidos-polis-tou-sebennytou-74-e2,727130
karanis-75-d1,736932
karnak-80-b2,786050
kassope-54-c3,530922
kellia-74-c3,727141
kellis-79-inset,776189
keryneia-keraunia-72-c2,707531
kition-72-d3,707534
kos-61-e4,599728
kourion-72-b3,707549
krokodilopolis-ptolemais-euergetis-75-d2,736948
leuktra-55-e4,540913
mantineia-antigoneia-58-c2,570459
maximianon-80-d1,786064
memphis-75-e1,736963
metapontum-45-e4,442658
misenum-44-f4,432941
mycenae-58-d2,570491
nauplia-58-d2,570501
nea-paphos-72-a3,707586
nennig-11-g3,109198
nicopolis-54-c3,531013
oasites-nomos-73-inset,716612
olympia-58-b2,570531
orchomenos-58-c2,570535
orchomenus-55-d4,540987
ostia-43-b2,422995
per-ousekh-79-d3,776215
persou-80-d1,786086
piazza-armerina-47-e4,462435
poisarietemidos-77-d1,756625
pompeii-44-f4,433032
poseidonia-paestum-45-b4,442733
praeneste-43-d2,423013
pylos-koryphasion-58-b4,570640
roma-43-b2,423025
s-simeon-80-inset,786106
saena-42-a2,413293
sardis-hyde-56-g5,550867
sioua-79-inset,776223
soloi-aipeia-72-b2,707624
sparta-58-c3,570685
spoletium-42-d3,413320
stratonikeia-61-g3,599947
stratonos-pyrgos-caesarea-69-a4,678401
syracusae-47-g4,462503
tamassos-72-c2,707628
tarchna-tarquinii-42-v4,
tauromenium-47-g3,462506
tchonemyris-79-d3,776228
tegea-58-c3,570707
tentyra-80-b1,786127
tiryns-58-d2,570740
trimithis-79-inset,776235
um-dabadib-79-c2,776237
veii-43-b1,423116
velathri-volaterrae-41-d3,403292
velzna-volsinii-veteres-urbiventus-42-c3,413373
vicus-voclannionum-11-g3,109429
volsinii-42-b3,413389
